record_id,dataset_role,property_symbol,property_name,component,value,unit,temperature_C,temperature_context,source_key,doi_or_reference,PLA_formulation,print_condition,confidence_relevance,compatibility_status,how_used_in_ANSYS,source_locator,notes
PLA-011,candidate,C₃,Arrhenius shift constant,below T_g,35000,K,<65,log₁₀a_T = C₃(1/T − 1/T_g),Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high for source model,requires_custom_or_tabulated_shift,Native ANSYS representation must reproduce the published piecewise shift law,Supplementary Table B.1 and main-text Eq. (6),
PLA-012,candidate,kᵢ,Maxwell-branch stiffness,branch 1,6.228,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.00368173450603
PLA-013,candidate,τᵢ,Maxwell-branch relaxation time,branch 1,1.176e-14,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-014,candidate,kᵢ,Maxwell-branch stiffness,branch 2,1.806,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.00106763206774
PLA-015,candidate,τᵢ,Maxwell-branch relaxation time,branch 2,1.228e-14,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-016,candidate,kᵢ,Maxwell-branch stiffness,branch 3,7.849,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.00464000227005
PLA-017,candidate,τᵢ,Maxwell-branch relaxation time,branch 3,2.878e-14,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-018,candidate,kᵢ,Maxwell-branch stiffness,branch 4,12.751,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.00753786073963
PLA-019,candidate,τᵢ,Maxwell-branch relaxation time,branch 4,1.701e-12,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-020,candidate,kᵢ,Maxwell-branch stiffness,branch 5,20.857,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0123297907181
PLA-021,candidate,τᵢ,Maxwell-branch relaxation time,branch 5,9.178e-12,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-022,candidate,kᵢ,Maxwell-branch stiffness,branch 6,31.104,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0183873908278
PLA-023,candidate,τᵢ,Maxwell-branch relaxation time,branch 6,6.034e-11,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-024,candidate,kᵢ,Maxwell-branch stiffness,branch 7,45.566,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0269367235873
PLA-025,candidate,τᵢ,Maxwell-branch relaxation time,branch 7,6.187e-09,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-026,candidate,kᵢ,Maxwell-branch stiffness,branch 8,64.036,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0378554192082
PLA-027,candidate,τᵢ,Maxwell-branch relaxation time,branch 8,1.102e-07,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-028,candidate,kᵢ,Maxwell-branch stiffness,branch 9,92.484,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0546726933295
PLA-029,candidate,τᵢ,Maxwell-branch relaxation time,branch 9,1.047e-06,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-030,candidate,kᵢ,Maxwell-branch stiffness,branch 10,135.916,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0803478848944
PLA-031,candidate,τᵢ,Maxwell-branch relaxation time,branch 10,6.903e-06,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-032,candidate,kᵢ,Maxwell-branch stiffness,branch 11,113.488,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0670893843322
PLA-033,candidate,τᵢ,Maxwell-branch relaxation time,branch 11,2.582e-05,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-034,candidate,kᵢ,Maxwell-branch stiffness,branch 12,128.266,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0758255231456
PLA-035,candidate,τᵢ,Maxwell-branch relaxation time,branch 12,5.363e-05,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-036,candidate,kᵢ,Maxwell-branch stiffness,branch 13,173.47,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.102548247393
PLA-037,candidate,τᵢ,Maxwell-branch relaxation time,branch 13,0.0001838,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-038,candidate,kᵢ,Maxwell-branch stiffness,branch 14,93.393,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0552100563137
PLA-039,candidate,τᵢ,Maxwell-branch relaxation time,branch 14,0.0004386,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-040,candidate,kᵢ,Maxwell-branch stiffness,branch 15,163.804,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0968341103125
PLA-041,candidate,τᵢ,Maxwell-branch relaxation time,branch 15,0.0007577,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-042,candidate,kᵢ,Maxwell-branch stiffness,branch 16,134.311,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0793990756647
PLA-043,candidate,τᵢ,Maxwell-branch relaxation time,branch 16,0.001795,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-044,candidate,kᵢ,Maxwell-branch stiffness,branch 17,119.266,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0705050975589
PLA-045,candidate,τᵢ,Maxwell-branch relaxation time,branch 17,0.002292,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-046,candidate,kᵢ,Maxwell-branch stiffness,branch 18,100.596,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0594681702583
PLA-047,candidate,τᵢ,Maxwell-branch relaxation time,branch 18,0.006576,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-048,candidate,kᵢ,Maxwell-branch stiffness,branch 19,80.534,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0476083504671
PLA-049,candidate,τᵢ,Maxwell-branch relaxation time,branch 19,0.00992,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-050,candidate,kᵢ,Maxwell-branch stiffness,branch 20,61.624,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0364295451509
PLA-051,candidate,τᵢ,Maxwell-branch relaxation time,branch 20,0.0329,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-052,candidate,kᵢ,Maxwell-branch stiffness,branch 21,44.508,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0263112780017
PLA-053,candidate,τᵢ,Maxwell-branch relaxation time,branch 21,0.05374,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-054,candidate,kᵢ,Maxwell-branch stiffness,branch 22,30.529,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0180474747487
PLA-055,candidate,τᵢ,Maxwell-branch relaxation time,branch 22,0.06586,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-056,candidate,kᵢ,Maxwell-branch stiffness,branch 23,18.61,MPa,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Convert to normalized ANSYS shear-relaxation ratio only after constant-ν equivalence is verified,Supplementary Table B.2,Calculated normalized modulus fraction kᵢ/E₀ = 0.0110014577966
PLA-057,candidate,τᵢ,Maxwell-branch relaxation time,branch 23,35.03,s,65,reference T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Candidate Prony relaxation time paired with branch stiffness,Supplementary Table B.2,
PLA-058,candidate,ε₁₁^AM,programmed AM pre-strain,pattern-search identification,0.05618,1,75,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 195 °C; activation 75 °C; bilayer calibration","moderate; geometry-calibrated, no dispersion reported",not_bulk_annealing_input,Do not use as bulk annealing strain without a transfer and identifiability study,Main-text Table 5,
PLA-059,candidate,ε₁₁^AM,programmed AM pre-strain,Timoshenko-bilayer identification,0.05605,1,75,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 195 °C; activation 75 °C; bilayer calibration","moderate; analytical identification, no dispersion reported",not_bulk_annealing_input,Method bracket only; not an uncertainty distribution,Main-text Table 5,
PLA-060,candidate,ε₁₁^AM,programmed AM pre-strain,pattern-search identification,0.04206,1,75,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 200 °C; activation 75 °C; bilayer calibration","moderate; geometry-calibrated, no dispersion reported",not_bulk_annealing_input,Do not use as bulk annealing strain without a transfer and identifiability study,Main-text Table 5,
PLA-061,candidate,ε₁₁^AM,programmed AM pre-strain,Timoshenko-bilayer identification,0.04199,1,75,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 200 °C; activation 75 °C; bilayer calibration","moderate; analytical identification, no dispersion reported",not_bulk_annealing_input,Method bracket only; not an uncertainty distribution,Main-text Table 5,
PLA-062,candidate,ε₁₁^AM,programmed AM pre-strain,pattern-search identification,0.1035,1,90,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 200 °C; activation 90 °C; bilayer calibration","moderate; geometry-calibrated, no dispersion reported",not_bulk_annealing_input,Do not use as bulk annealing strain without a transfer and identifiability study,Main-text Table 5,
PLA-063,candidate,ε₁₁^AM,programmed AM pre-strain,Timoshenko-bilayer identification,0.1029,1,90,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 200 °C; activation 90 °C; bilayer calibration","moderate; analytical identification, no dispersion reported",not_bulk_annealing_input,Method bracket only; not an uncertainty distribution,Main-text Table 5,
PLA-064,candidate,ε₁₁^AM,programmed AM pre-strain,pattern-search identification,0.07957,1,90,activation temperature,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,"25 mm × 5 mm, 0.1 mm layers; nozzle 215 °C; activation 90 °C; bilayer calibration","moderate; geometry-calibrated, no dispersion reported",not_bulk_annealing_input,Do not use as bulk annealing strain without a transfer and identifiability study,Main-text Table 5,
